Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,180.0,385.76512199942954,174.38290000427514,2568.4534999891184,160.82,0.16653703818949722,0.0,180,180,340,610,900,1100,2600,2600,2600,2600,2600
GET,/expenses,751,0,440.0,656.2313776300196,2.929300011601299,6694.8785999557,1832.3395472703062,2.501386313606248,0.0,440,690,840,990,1500,1900,3000,4200,6700,6700,6700
POST,/input,1880,440,2800.0,2935.3533024995045,740.405999997165,12368.250200001057,82.25531914893617,6.2617926359250955,1.4655259360675756,2800,3200,3500,3700,4400,5100,6100,7200,12000,12000,12000
GET,/notifications,391,0,450.0,617.6906086972205,3.252500027883798,4045.6781000248156,2.0,1.3023196386418683,0.0,450,670,840,960,1400,1900,2500,3200,4000,4000,4000
GET,/schedules,778,0,470.0,684.8209798199862,3.1096000457182527,6113.308699976187,803.012853470437,2.591316314228577,0.0,470,720,950,1100,1600,2200,2900,3400,6100,6100,6100
,Aggregated,3850,440,1400.0,1767.5038908311067,2.929300011601299,12368.250200001057,562.1542857142857,12.823351940591285,1.4655259360675756,1400,2400,2800,3100,3700,4400,5400,6100,9700,12000,12000
