Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,180.0,235.54297399357893,172.15140000917017,1269.6023000171408,160.84,0.16723881881670272,0.0,180,180,180,210,440,520,1300,1300,1300,1300,1300
GET,/expenses,446,0,1500.0,2789.7770100905122,2.9152000206522644,26801.574799988884,1203.3609865470853,1.4917702638449881,0.0,1600,3400,4200,4600,5900,10000,13000,19000,27000,27000,27000
POST,/input,1103,49,4700.0,6367.465312873391,327.77380000334233,30178.552000026684,89.8114233907525,3.689288343096462,0.16389404244036865,4700,8100,9800,11000,12000,15000,19000,22000,29000,30000,30000
GET,/notifications,222,0,1000.0,2369.796672071905,3.2186000025831163,18873.388600011822,2.0,0.74254035554616,0.0,1000,3400,3900,4300,5300,9000,12000,14000,19000,19000,19000
GET,/schedules,430,0,1100.0,2159.6859825592283,2.729699946939945,18864.288999990094,607.5372093023256,1.4382538418236432,0.0,1100,2600,3800,4100,5300,6600,9300,12000,19000,19000,19000
,Aggregated,2251,49,2900.0,4324.34107907588,2.729699946939945,30178.552000026684,402.260328742781,7.529091623127956,0.16389404244036865,2900,4500,5900,7900,11000,13000,18000,20000,27000,30000,30000
