Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,170.7204999984242,175.9808340051677,170.7204999984242,213.71040004305542,160.88,0.16662510809040265,0.0,170,170,180,180,180,190,210,210,210,210,210
GET,/expenses,1430,0,4,4.607111818346006,2.2871000110171735,40.37469998002052,7622.331468531468,4.765478091385516,0.0,4,5,5,5,6,6,8,10,35,40,40
POST,/input,3534,0,48,47.75099759467761,4.849200020544231,96.75180003978312,104.04895302773062,11.777062639829659,0.0,48,49,49,49,50,51,52,53,63,97,97
GET,/notifications,680,0,4,3.8664997058838386,2.139899996109307,8.913600002415478,2.0,2.2661014700294757,0.0,4,4,4,4,5,5,6,7,9,9,9
GET,/schedules,1450,0,4,4.694909103463629,2.4238000041805208,37.50200005015358,10162.701379310345,4.8321281346216765,0.0,4,5,5,5,6,6,8,9,37,38,38
,Aggregated,7144,0,16,27.09631510359842,2.139899996109307,213.71040004305542,3641.2323628219483,23.80739544395673,0.0,16,47,48,48,49,50,52,53,180,210,210
