Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,20,0,171.56869999598712,174.55885000235867,171.56869999598712,178.89799998374656,160.9,0.06662282776638452,0.0,170,170,180,180,180,180,180,180,180,180,180
GET,/expenses,432,0,5,6.200292593146312,3.7284999853000045,36.34049999527633,9629.25925925926,1.4390530797539056,0.0,5,6,6,7,9,10,15,21,36,36,36
POST,/input,1128,0,1300.0,1427.1651419317836,963.6960999923758,9810.80810003914,83.88297872340425,3.7575274860240873,0.0,1300,1400,1500,1500,1700,2100,2900,3700,8900,9800,9800
GET,/notifications,208,0,4,5.125901440736086,2.9958999948576093,20.836699986830354,2.0,0.692877408770399,0.0,4,5,5,6,8,9,10,11,21,21,21
GET,/schedules,393,0,5,5.945266921010399,3.297499963082373,19.84589995117858,11407.704834605598,1.3091385656094559,0.0,5,6,6,7,9,10,11,11,20,20,20
,Aggregated,2181,0,1100.0,742.5101608890274,2.9958999948576093,9810.80810003914,4007.9422283356257,7.2652193679242325,0.0,1100,1200,1300,1400,1500,1700,2400,2900,8200,9800,9800
