Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,170.62040005112067,174.96889200177975,170.62040005112067,208.33490003133193,160.82,0.16666544464795405,0.0,170,180,180,180,180,180,210,210,210,210,210
GET,/expenses,1068,0,5,55.3017536520828,3.0507000046782196,1393.254499998875,9927.324906367041,3.5599738976802984,0.0,5,7,11,43,190,320,470,660,1300,1400,1400
POST,/input,2562,0,1300.0,1447.841915651361,872.611400031019,11087.556199985556,83.69320843091334,8.539937383761165,0.0,1300,1400,1500,1600,1800,2100,3100,4100,8700,11000,11000
GET,/notifications,524,0,4,49.42871603076364,2.298999985214323,795.9895000094548,2.0,1.7466538599105583,0.0,4,5,11,63,200,280,410,450,800,800,800
GET,/schedules,1086,0,5,56.58602191420001,2.313199976924807,1233.084300009068,11200.099447513812,3.619973457753562,0.0,5,7,11,42,190,330,540,730,1100,1200,1200
,Aggregated,5290,0,410.0,730.5358737992894,2.298999985214323,11087.556199985556,4345.7848771266545,17.633204043753537,0.0,410,1200,1300,1400,1600,1800,2200,3100,6500,11000,11000
