Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,180.0,193.38129400159232,171.45520000485703,362.22780001116917,160.8,0.16661014037500488,0.0,180,180,190,190,240,310,360,360,360,360,360
GET,/expenses,1099,0,5,42.01862474964267,2.4757999926805496,925.6524000084028,2057.0154686078254,3.6620908854426073,0.0,5,6,8,13,140,270,440,560,890,930,930
POST,/input,2663,108,1300.0,1321.486900187902,3.387999953702092,42638.57420004206,90.46038302666166,8.873656076372761,0.35987790321001056,1300,1400,1500,1600,1800,2100,2800,3500,16000,43000,43000
GET,/notifications,535,0,4,34.59135214928712,2.5843000039458275,1358.5210000164807,2.0,1.7827285020125523,0.0,4,5,7,8,64,230,420,560,1400,1400,1400
GET,/schedules,1070,0,4,39.890059999192445,2.4409000179730356,1459.1976999654435,1356.5065420560747,3.5654570040251046,0.0,4,5,7,8,110,260,390,580,1400,1500,1500
,Aggregated,5417,108,120.0,671.249009802349,2.4409000179730356,42638.57420004206,731.4247738600701,18.050542608228028,0.35987790321001056,120,1200,1300,1400,1600,1800,2300,2800,10000,43000,43000
