Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,180.0,228.12796200000324,173.18950000003497,673.2971999999791,160.76,0.16655697483536935,0.0,180,200,210,250,360,500,670,670,670,670,670
GET,/expenses,882,0,150.0,306.7766361677984,3.115100000059101,3072.407099999964,2281.374149659864,2.9380650360959155,0.0,150,290,410,510,860,1100,1800,2100,3100,3100,3100
POST,/input,2240,42,2100.0,2143.8700903124977,354.20560000000023,13170.768399999928,119.80089285714286,7.461752472624547,0.13990785886171025,2100,2300,2500,2700,3100,3600,4800,6500,10000,13000,13000
GET,/notifications,433,0,110.0,340.318958198616,2.7182000000038897,5084.233499999982,14.66743648960739,1.4423834020742985,0.0,110,320,440,540,950,1500,2000,2300,5100,5100,5100
GET,/schedules,900,0,130.0,304.73106111111105,2.9939000000922533,4380.185500000039,264.04555555555555,2.998025547036648,0.0,140,310,420,520,840,1200,1700,2100,4400,4400,4400
,Aggregated,4505,42,790.0,1222.16835902331,2.7182000000038897,13170.768399999928,562.1655937846837,15.00678343266678,0.13990785886171025,790,1800,2100,2200,2700,3100,4000,4800,9200,13000,13000
