Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,10,0,171.44160001771525,173.33295000717044,171.44160001771525,175.57109997142106,160.8,0.03337329515660528,0.0,170,170,170,170,180,180,180,180,180,180,180
GET,/expenses,290,0,4,4.171917240079171,2.6857000193558633,6.103800027631223,3710.251724137931,0.9678255595415531,0.0,4,4,4,4,5,5,6,6,6,6,6
POST,/input,740,0,48,48.03882270250658,6.083699990995228,53.61810000613332,105.06621621621622,2.469623841588791,0.0,48,49,49,49,50,50,52,53,54,54,54
GET,/notifications,150,0,4,3.8387480025024465,2.5672000483609736,5.437699961476028,2.0,0.5005994273490793,0.0,4,4,4,4,4,5,5,5,5,5,5
GET,/schedules,276,0,4,4.295867756203127,3.0383000266738236,37.609699997119606,5288.311594202899,0.9211029463223057,0.0,4,4,4,5,5,5,5,6,38,38,38
,Aggregated,1466,0,46,27.457971351048407,2.5672000483609736,175.57109997142106,1783.9045020463848,4.892525069958334,0.0,46,47,48,49,49,50,51,53,170,180,180
