Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,10,0,180.0,179.55197000410408,172.235100006219,198.45710002118722,160.8,0.033345415015810294,0.0,180,180,180,200,200,200,200,200,200,200,200
GET,/expenses,206,0,4,4.78725533907582,3.0808000010438263,36.20610001962632,5947.699029126214,0.686915549325692,0.0,4,5,5,5,5,7,9,9,36,36,36
POST,/input,546,0,1300.0,1499.266689743688,963.7363000074401,7554.907699988689,83.58608058608058,1.820659659863242,0.0,1300,1400,1500,1500,1800,2600,4100,5000,7600,7600,7600
GET,/notifications,96,0,4,4.161077085276095,2.628499991260469,8.888699987437576,2.0,0.32011598415177883,0.0,4,4,4,4,5,7,8,9,9,9,9
GET,/schedules,224,0,5,4.706785268873708,2.779300033580512,9.751400037202984,8151.763392857143,0.7469372963541505,0.0,5,5,5,5,6,6,8,9,10,10,10
,Aggregated,1082,0,1000.0,760.4760537896104,2.628499991260469,7554.907699988689,2863.8253234750464,3.607973904710674,0.0,1100,1300,1300,1400,1500,1800,2900,4100,6400,7600,7600
