Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,180.0,199.26684000063688,171.17840005084872,490.90159998741,160.8,0.1666818962501923,0.0,180,180,180,200,290,350,490,490,490,490,490
GET,/expenses,1023,0,6,90.20696295255054,2.7314000762999058,2624.7561998898163,2035.7859237536657,3.410311597278935,0.0,6,9,68,130,300,480,750,970,1700,2600,2600
POST,/input,2550,90,1600.0,1573.2853594542407,131.36500003747642,9109.291700064205,90.59019607843138,8.500776708759808,0.30002741325034615,1600,1700,1900,2000,2300,2800,3800,4600,8000,9100,9100
GET,/notifications,490,0,5,79.97928061522543,2.812699996866286,1915.6792999710888,10.43673469387755,1.6334825832518847,0.0,5,8,39,85,260,450,710,1100,1900,1900,1900
GET,/schedules,993,0,5,99.69224128754921,2.5588999269530177,2812.924300087616,1259.1611278952669,3.3103024595288195,0.0,5,9,60,130,300,560,860,1100,2800,2800,2800
,Aggregated,5106,90,320.0,832.8059096766161,2.5588999269530177,9109.291700064205,700.5708969839404,17.02155524506964,0.30002741325034615,320,1400,1600,1700,2000,2300,3000,3800,7500,9100,9100
