Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,171.31189996143803,177.8703480027616,171.31189996143803,225.9376000147313,160.76,0.16668556109662877,0.0,170,180,180,180,180,200,230,230,230,230,230
GET,/expenses,1008,0,7,102.33886398690095,3.2547999871894717,1534.5617000130005,17180.364087301587,3.360380911708036,0.0,7,39,110,160,360,510,750,910,1500,1500,1500
POST,/input,2454,22,1500.0,1651.805070660807,805.9177999966778,38346.62590001244,92.19233903830481,8.18092733862254,0.07334164688251665,1500,1600,1800,1900,2200,2600,3700,4600,18000,38000,38000
GET,/notifications,523,0,5,109.453596750561,2.533899969421327,2179.476600023918,9.791586998087954,1.743530969070737,0.0,5,37,120,190,380,550,730,970,2200,2200,2200
GET,/schedules,1002,0,7,100.08725159627966,3.0946999904699624,2149.331799999345,16627.79341317365,3.3403786443764405,0.0,7,30,110,180,300,450,730,1100,1700,2100,2100
,Aggregated,5037,22,680.0,858.2712711734301,2.533899969421327,38346.62590001244,6793.379988088148,16.791903424874384,0.07334164688251665,680,1300,1500,1600,1900,2200,2700,3600,8600,38000,38000
