Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,20,0,171.16660001920536,174.2202399938833,171.16660001920536,189.2488999874331,160.8,0.06669648921149975,0.0,170,170,180,180,180,190,190,190,190,190,190
GET,/expenses,595,0,4,4.2024346223069715,2.466099977027625,29.717299970798194,4611.181512605042,1.9842205540421174,0.0,4,4,4,4,5,5,6,6,30,30,30
POST,/input,1445,0,48,47.85549093487392,5.078600021079183,61.11920002149418,103.85328719723184,4.818821345530856,0.0,48,49,49,49,50,51,52,53,57,61,61
GET,/notifications,289,0,4,3.8016657451744544,2.4361999821849167,7.5399000197649,2.0,0.9637642691061713,0.0,4,4,4,4,4,5,5,6,8,8,8
GET,/schedules,588,0,4,4.237421088892377,2.419100026600063,9.312700014561415,6643.542517006803,1.9608767828180924,0.0,4,4,5,5,5,5,6,6,9,9,9
,Aggregated,2937,0,6,26.805012870843466,2.419100026600063,189.2488999874331,2316.621722846442,9.794379440708738,0.0,6,47,48,49,49,50,52,53,180,190,190
